Dataset,Baseline Acc,Ablation Acc,Delta Acc (pp),Baseline Prec,Ablation Prec,Delta Prec (pp),Baseline Rec,Ablation Rec,Delta Rec (pp),Baseline F1,Ablation F1,Delta F1 (pp),Baseline ROC-AUC,Ablation ROC-AUC,Delta ROC-AUC (pp),Vocab With,Vocab Without,Train Time With (s),Train Time Without (s)
Etherlock,0.9688995215311005,0.9665071770334929,-0.23923444976076125,0.7258064516129032,0.7192982456140351,-0.6508205998868144,0.6716417910447762,0.6119402985074627,-5.97014925373135,0.6976744186046512,0.6612903225806451,-3.638409602400605,0.8286599856656063,0.7992304693885249,-2.9429516277081347,65372,40774,34.2437949180603,17.972460508346558
Block Dependency,0.9540918163672655,0.9550898203592815,0.09980039920159944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49126413155190135,0.49177800616649536,0.05138746145940121,65273,38259,33.600470542907715,16.670901775360107
Integer Underflow / Overflow,0.8198970840480274,0.8310463121783876,1.1149228130360234,0.47770700636942676,0.5192307692307693,4.152376286134252,0.3694581280788177,0.39901477832512317,2.9556650246305436,0.4166666666666667,0.45125348189415043,3.4586815227483747,0.6421537784734691,0.6605665791937143,1.8412800720245204,65514,41158,32.65132141113281,13.91835618019104
Reentrancy,0.9093539054966249,0.9257473481195757,1.6393442622950838,0.34615384615384615,0.43137254901960786,8.521870286576172,0.38571428571428573,0.3142857142857143,-7.142857142857145,0.36486486486486486,0.36363636363636365,-0.12285012285012109,0.6664869256906486,0.6421480277736741,-2.4338897916974522,65380,39337,50.34466791152954,17.748468160629272
